Ur-Nammu 1          	ur-{d}nammu lugal
Amar-Sin 3*         	us2-sa {d}amar-{d}en.zu lugal-e ur-bi2-lum{ki} mu-hul
Amar-Sin 3          	{d}amar-{d}en.zu lugal-e {d}gu-za mah {d}en-lil2-la2 sza3 hul2-la in-dim2
Amar-Sin 4*         	us2-sa {d}gu-za mah sza3 hul2-la {d}en-lil2-la2 ba-dim2
Amar-Sin 4a         	en-mah-gal-an-na en-{d}nanna ba-hun-ga2
Amar-Sin 4b         	en-mah-gal-an-na en-{d}nanna masz2-e i3-pad3
Amar-Sin 4c         	en-{d}nanna {d}amar-{d}en.zu-ra-ki-ag2-an-na masz2-e i3-pad3
Amar-Sin 5*         	us2-sa en-mah-gal-an-na en-{d}nanna ba-hun
Amar-Sin 5          	en-unu6-gal-an-na / en-u3-nu-gal-an-na en-{d}inanna unug{ki}-ga ba-hun
Amar-Sin 6*         	us2-sa en-unu6-gal-an-na en-{d}inanna unug{ki}-ga ba-hun
Amar-Sin 6          	{d}amar-{d}en.zu lugal-e sza-asz-ru-um{ki} a-ra2 2-kam u3 szu-ru-ud-hu-um{ki} mu-hul
Amar-Sin 7*         	us2-sa sza-asz-ru-um{ki} ba-hul
Amar-Sin 7          	{d}amar-{d}en.zu lugal-e bi2-tum-ra-bi2-um{ki} i3-ab-ru{ki} ma-da ma-da-bi u3 hu-uh2-nu-ri{ki} mu-hul
Amar-Sin 8*         	us2-sa hu-uh2-nu-ri{ki} ba-hul
Amar-Sin 8a         	en-nun-gal-an-na en-nun-e-{d}amar-{d}en.zu ki-ag2 en eridu{ki} ba-hun
Amar-Sin 8b         	en-nun-ne2-ki-ag2
Amar-Sin 9a*        	us2-sa en-nun-ne2-ki-ag2
Amar-Sin 9b*        	us2-sa en eridu{ki} ba-hun-ga2
Amar-Sin 9          	en-{d}nanna-{d}amar-{d}en.zu-ki-ag2-ra en-{d}nanna ga-esz{ki} kar-zi-da{ki}-ka a-ra2 3-kam ba-hun
Szu-Suen 1*         	us2-sa en-{d}nanna kar-zi-da{ki}-ka ba-hun
Szu-Suen 1          	{d}szu-{d}en.zu lugal-am3	
Szu-Suen 2*         	us2-sa {d}szu-{d}en.zu lugal
Szu-Suen 2          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 ma2 dara3-abzu {d}en-ki in-dim2 mu-du8
Szu-Suen 3*         	us2-sa ma2 dara3-abzu {d}en-ki ba-ab-du8 ba-dim2
Szu-Suen 3          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 si-ma-num2{ki} mu-hul
Szu-Suen 4*         	us2-sa {d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 si-ma-num2{ki} mu-hul
Szu-Suen 4          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3
Szu-Suen 5          	us2-sa {d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3
Szu-Suen 6*         	us2-sa {d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3 mu us2-sa-a-bi
Szu-Suen 6          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 na-ru2-a mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3
Szu-Suen 7*         	us2-sa {d}szu-{d}en.zu lugal-e na-ru2-a mah mu-du3
Szu-Suen 7          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 lugal an ub-da 4-ba ma-da za-ab-sza-li{ki} mu-hul
Szu-Suen 8*         	us2-sa ma-da za-ab-sza-li{ki} ba-hul
Szu-Suen 8          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 ma2-gur8 mah {d}en-lil2 {d}nin-lil2-ra mu-ne-dim2
Szu-Suen 9*         	us2-sa {d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 ma2-gur8 mah {d}en-lil2 {d}nin-lil2-ra mu-ne-dim2
Szu-Suen 9          	{d}szu-{d}en.zu lugal ur2i{ki}-ma-ke4 e2-{d}szara2 umma{ki}-ka mu-du3
Ibbi-Sin 1*         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 e2-{d}szara2 umma{ki} mu-du3
Ibbi-Sin 1          	{d}i-bi2-{d}en.zu lugal
Ibbi-Sin 2*         	us2-sa {d}i-bi2-{d}en.zu lugal
Ibbi-Sin 2          	en-{d}inanna unug{ki} masz-e i3-pad3
Ibbi-Sin 3*         	us2-sa en-{d}inanna unug{ki}-ga masz-e i3-pad3
Ibbi-Sin 3          	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 si-mu-ru-um{ki} mu-hul
Ibbi-Sin 4*         	us2-sa si-mu-ru-um{ki} ba-hul
Ibbi-Sin 4          	en-am-gal-an-na en-{d}inanna ba-hun
Ibbi-Sin 5          	tu-ki-in-hatytyi-mi-ig-ri2-sza dumu-munus lugal ensi2 za-ab-sza-li{ki}-ke4 ba-an-tuk
Ibbi-Sin 6*         	us2-sa dumu-munus lugal ensi2 za-ab-sza-li{ki} ba-an-tuk
Ibbi-Sin 6          	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 nibru{ki} ur2i{ki}-ma-ke4 bad3 gal-bi mu-du3
Ibbi-Sin 7          	us2-sa bad3 gal nibru{ki} ba-du3
Ibbi-Sin 8          	us2-sa bad3 gal ba-du3 us2-sa-bi
Ibbi-Sin 9          	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 hu-uh2-nu-ri{ki} sag-kul ma-da an-sza-an{ki}-sze3 ... dugud ba-szi-in-gin ...-gim bi ...
Ibbi-Sin 10         	en-nir-si3-an-na en-{d}inanna masz2-e in-pad3
Ibbi-Sin 11a        	en-nam-szita4 {d}i-bi2-{d}en.zu-sze3 szud3-sag en-{d}en-ki eridu{ki}-ga masz-e in-pad3
Ibbi-Sin 11b        	en-nam-szita4 en eridu{ki} ba-hun
Ibbi-Sin 12         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 gu-za an {d}nanna-ra mu-na-dim2
Ibbi-Sin 13         	us2-sa {d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 gu-za an {d}nanna-ra mu-na-dim2
Ibbi-Sin 14         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 szuszan{ki} a-dam-dun{ki} a-wa-an{ki} u4-gim ka bi-in-gi4 u4 1-a mu-un-gur2 en-bi lu2-a mi-ni-in-dab5-ba-a
Ibbi-Sin 15         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra {d}nanna-a sza3 ki-ag2-ga2-ni dalla mu-un-na-an-e3-a
Ibbi-Sin 16         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nanna-ar {d}nun-me-te-an-na mu-na-dim2
Ibbi-Sin 17         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra mar-tu a2 im.u19- ul-ta uru{ki} nu zu gu2 im-ma-an-ga2-ar
Ibbi-Sin 18         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-lil2 u3 {d}inanna e2-szutum2 e2-gi-na-ab-tum ku3 mu-ne-du3
Ibbi-Sin 19         	us2-sa {d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-lil2 u3 {d}inanna e2-szutum2 e2-gi-na-ab-tum ku3 mu-ne-du3
Ibbi-Sin 20         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}en-lil2-le2 me-lam2-ma-ni kur-kur-ra bi2-in-dul4
Ibbi-Sin 21         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-igi-zi-bar-ra balag {d}inanna-ra mu-na-dim2
Ibbi-Sin 22         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 a-ma-ru ni3-du11-ga dingir-re-ne-ke4 zag an-ki im-suh3-suh3-a ur2i{ki} uruXud{ki} tab-ba bi2-in-gi-en
Ibbi-Sin 23         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra ugu-dul5-bi dugud kur-be2 mu-na-e-ra
Ibbi-Sin 24         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 ... bi2-ra
unknown a           	{d}en-ki ga-sza e2-a-na ba-an-ku4
unknown b           	e2-{d}ne3-unug ba-du3
